TEXT;ES;EN
El archivo está corrupto. Se va a cargar un reespaldo.;El archivo está corrupto. Se va a cargar un reespaldo.;The file is corrupt. Loading a backup.
La partida guardada está corrupta, o es incompatible con este juego.;La partida guardada está corrupta, o es incompatible con este juego.;The saved game is corrupt, or is incompatible with this game.
¿Quieres borrar la partida y empezar una nueva?;¿Quieres borrar la partida y empezar una nueva?;Do you want to delete the save and start a new game?
¿Borrar todos los datos guardados?;¿Borrar todos los datos guardados?;Delete all saved data?
Una vez que los datos se borren no habrá forma de recuperarlos.;Una vez que los datos se borren no habrá forma de recuperarlos.;Once the data is deleted, there will be no way to recover it.
¿Borrar los datos guardados de todos modos?;¿Borrar los datos guardados de todos modos?;Delete the saved data anyway?
Borrando todos los datos. No cierres el juego.;Borrando todos los datos. No cierres el juego.;Deleting all data. Do not turn off the game.
No se han encontrado datos de guardado.;No se han encontrado datos de guardado.;No save data found.
Los datos guardados se han borrado.;Los datos guardados se han borrado.;The saved data has been deleted.
No se han podido borrar todos los datos guardados.;No se han podido borrar todos los datos guardados.;Could not delete all saved data.
Continuar;Continuar;Continue
Regalo Misterioso;Regalo Misterioso;Mystery Gift
Juego Nuevo;Juego Nuevo;New Game
Idioma;Idioma;Language
Buscar actualizaciones;Buscar actualizaciones;Search for updates
Debug;Debug;Debug
El script está tardando mucho. Se va a reiniciar el juego.;El script está tardando mucho. Se va a reiniciar el juego.;The script is taking too long. The game will be restarted.
Se ha guardado la partida.;Se ha guardado la partida.;The game has been saved.
Se ha hecho una copia del anterior archivo de guardado.;Se ha hecho una copia del anterior archivo de guardado.;A backup of the previous save file has been made.
El guardado ha fallado.;El guardado ha fallado.;The save has failed.
Jugador;Jugador;Player
¿Quieres guardar la partida?;¿Quieres guardar la partida?;Do you want to save the game?
¡AVISO!;¡AVISO!;WARNING!
Tienes ya un archivo de guardado de una partida diferente.;Tienes ya un archivo de guardado de una partida diferente.;You already have a save file from a different game.
Si guardas ahora, todos los datos de la otra partida se perderán para siempre.;Si guardas ahora, todos los datos de la otra partida se perderán para siempre.;If you save now, all data from the other game will be lost forever.
¿Estás seguro de que quieres guardar la partida y sobreescribir el otro archivo?;¿Estás seguro de que quieres guardar la partida y sobreescribir el otro archivo?;Are you sure you want to save and overwrite the other file?
{1} guardó la partida.;{1} guardó la partida.;{1} saved the game.
Cerrar;Cerrar;Close
Tipo {1}/{2};Tipo {1}/{2};Type {1}/{2}
Cambiar el valor del vsync requiere reiniciar el juego.\nPodrás guardar antes de reiniciar.\n¿Deseas reiniciar ahora?;Cambiar el valor del vsync requiere reiniciar el juego.\nPodrás guardar antes de reiniciar.\n¿Deseas reiniciar ahora?;Changing the vsync value requires restarting the game.\nYou will be able to save before restarting.\nDo you want to restart now?
Cambiar el valor del vsync requiere reiniciar el juego.\n¿Deseas reiniciar ahora?;Cambiar el valor del vsync requiere reiniciar el juego.\n¿Deseas reiniciar ahora?;Changing the vsync value requires restarting the game.\nDo you want to restart now?
Cierra el menú de opciones.;Cierra el menú de opciones.;Close the options menu.
Volumen Música;Volumen Música;Music Volume
Ajusta el volumen de la música de fondo.;Ajusta el volumen de la música de fondo.;Adjust the background music volume.
Volumen Efectos;Volumen Efectos;SFX Volume
Ajusta el volumen de los efectos de sonido.;Ajusta el volumen de los efectos de sonido.;Adjust the sound effects volume.
Velocidad de texto;Velocidad de texto;Text Speed
Len;Len;Slow
Med;Med;Med
Ráp;Ráp;Fast
Inst;Inst;Inst
Elige la velocidad a la que aparece el texto.;Elige la velocidad a la que aparece el texto.;Choose the speed at which text appears.
Efectos Batalla;Efectos Batalla;Battle Effects
Elige si quieres ver las animaciones de ataques en combate.;Elige si quieres ver las animaciones de ataques en combate.;Choose whether you want to see attack animations in battle.
Estilo Combate;Estilo Combate;Battle Style
Cambio;Cambio;Switch
Fijo;Fijo;Set
Elige si puedes cambiar de Pokémon al derrotar un Pokémon rival.;Elige si puedes cambiar de Pokémon al derrotar un Pokémon rival.;Choose whether you can switch Pokémon after defeating an opponent's Pokémon.
Movimiento Predt.;Movimiento Predt.;Default Movement
Andar;Andar;Walk
Correr;Correr;Run
Elige la velocidad de movimiento. Pulsa el botón al moverte para elegir la otra.;Elige la velocidad de movimiento. Pulsa el botón al moverte para elegir la otra.;Choose the default movement speed. Press the button while moving to choose the other.
Manual;Manual;Manual
Automático;Automático;Automatic
Elige si tus Pokémon se mandan al PC cuando tu equipo está lleno.;Elige si tus Pokémon se mandan al PC cuando tu equipo está lleno.;Choose whether your Pokémon are sent to the PC when your party is full.
Poner Motes;Poner Motes;Give Nicknames
Elige si quieres que te pregunte qué mote ponerle a un Pokémon al conseguirlo.;Elige si quieres que te pregunte qué mote ponerle a un Pokémon al conseguirlo.;Choose whether you want to be asked to give a nickname to a Pokémon when you obtain it.
Marco de Texto;Marco de Texto;Text Frame
Elige la apariencia de las cajas de diálogos.;Elige la apariencia de las cajas de diálogos.;Choose the appearance of dialogue boxes.
Marco de Menú;Marco de Menú;Menu Frame
Elige la apariencia de los mensajes de menús.;Elige la apariencia de los mensajes de menús.;Choose the appearance of menu messages.
Entrada de Texto;Entrada de Texto;Text Input
Teclado;Teclado;Keyboard
Cursor;Cursor;Cursor
Elige cómo quieres introducir el texto.;Elige cómo quieres introducir el texto.;Choose how you want to input text.
Tamaño Pantalla;Tamaño Pantalla;Screen Size
S;S;S
M;M;M
L;L;L
XL;XL;XL
Full;Full;Full
Elige el tamaño de la ventana de juego.;Elige el tamaño de la ventana de juego.;Choose the game window size.
VSync;VSync;VSync
Si el juego va muy rápido desactiva el VSync.\nRequiere reiniciar el juego;Si el juego va muy rápido desactiva el VSync.\nRequiere reiniciar el juego;If the game runs too fast, disable VSync.\nRequires restarting the game
Anim. de mapas;Anim. de mapas;Map Animations
Activa o desactiva las animaciones de los mapas.;Activa o desactiva las animaciones de los mapas.;Enable or disable map animations.
Modo Turbo;Modo Turbo;Turbo Mode
Define el modo del turbo, si se puede activar siempre o solo en combates.;Define el modo del turbo, si se puede activar siempre o solo en combates.;Define the turbo mode, whether it can always be activated or only in combat.
Siempre;Siempre;Always
Selecciona el idioma.;Selecciona el idioma.;Select the language.
Comienzo;Comienzo;Started
Rojo;Rojo;Red
Azul;Azul;Blue
Auto;Auto;Auto
Magenta;Magenta;Magenta
Amarillo;Amarillo;Yellow
Verde;Verde;Green
Liga;Liga;League
Negro;Negro;Black
Marrón;Marrón;Brown
Morado;Morado;Purple
Gris;Gris;Gray
Blanco;Blanco;White
Rosa;Rosa;Pink
Sin nombre;Sin nombre;Unnamed
Play: Oak;Play: Oak;Play: Oak
Play: Personalizado...;Play: Personalizado...;Play: Custom...
Rep Exp al capturar;Rep Exp al capturar;Exp Share on Capture
Si quieres que los Pokémon capturados tengan el repartir experiencia activado.;Si quieres que los Pokémon capturados tengan el repartir experiencia activado.;Whether captured Pokémon have Exp Share enabled.
Repartir Exp.;Repartir Exp.;Exp. Share
activar;activar;enable
desactivar;desactivar;disable
¿Quieres {1} el Repartir Experiencia en este Pokémon?;¿Quieres {1} el Repartir Experiencia en este Pokémon?;Do you want to {1} Exp Share on this Pokémon?
¡Tus otros Pokémon también ganaron puntos de experiencia!;¡Tus otros Pokémon también ganaron puntos de experiencia!;Your other Pokémon also gained Exp. Points!
Habilidad;Habilidad;Ability
Conocido al Nv. {1}.;Conocido al Nv. {1}.;Met at Lv. {1}.
Huevo recibido.;Huevo recibido.;Egg received.
Intercambiado al Nv. {1}.;Intercambiado al Nv. {1}.;Traded at Lv. {1}.
Huevo eclosionado.;Huevo eclosionado.;Egg hatched.
Naturaleza {1}.;Naturaleza {1}.;{1} nature.
PP;PP;PP
Altura;Altura;Height
Peso;Peso;Weight
¿Quieres usar Vuelo para viajar a {1}?;¿Quieres usar Vuelo para viajar a {1}?;Use Fly to travel to {1}?
Al no estar en Windows el juego no puede reiniciarse automáticamente.\nSe cerrará y deberás abrirlo manualmente.;Al no estar en Windows el juego no puede reiniciarse automáticamente.\nSe cerrará y deberás abrirlo manualmente.;Since you are not on Windows, the game cannot restart automatically.\nIt will close and you must open it manually.
Objetos;Objetos;Items
Medicinas;Medicinas;Medicine
Poké Balls;Poké Balls;Poké Balls
MTs & MOs;MTs & MOs;TMs & HMs
Bayas;Bayas;Berries
Obj. Batalla;Obj. Batalla;Battle Items
Obj. Clave;Obj. Clave;Key Items
Pokédex de Kanto;Pokédex de Kanto;Kanto Pokédex
Pokédex de Johto;Pokédex de Johto;Johto Pokédex
Pokédex de Hoenn;Pokédex de Hoenn;Hoenn Pokédex
Pokédex de Sinnoh;Pokédex de Sinnoh;Sinnoh Pokédex
Pokédex de Teselia;Pokédex de Teselia;Unova Pokédex
Pokédex de Kalos;Pokédex de Kalos;Kalos Pokédex
Pokédex de Alola;Pokédex de Alola;Alola Pokédex
Pokédex de Galar;Pokédex de Galar;Galar Pokédex
Pokédex de Paldea;Pokédex de Paldea;Paldea Pokédex
Pokédex Nacional;Pokédex Nacional;National Pokédex
Fuerte;Fuerte;Hardy
Huraña;Huraña;Lonely
Audaz;Audaz;Brave
Firme;Firme;Adamant
Pícara;Pícara;Naughty
Osada;Osada;Bold
Dócil;Dócil;Docile
Plácida;Plácida;Relaxed
Agitada;Agitada;Impish
Floja;Floja;Lax
Miedosa;Miedosa;Timid
Activa;Activa;Hasty
Seria;Seria;Serious
Alegre;Alegre;Jolly
Ingenua;Ingenua;Naive
Modesta;Modesta;Modest
Afable;Afable;Mild
Mansa;Mansa;Quiet
Tímida;Tímida;Bashful
Alocada;Alocada;Rash
Serena;Serena;Calm
Amable;Amable;Gentle
Grosera;Grosera;Sassy
Cauta;Cauta;Careful
Rara;Rara;Quirky
Pre;Pre;Acc
Evasión;Evasión;Evasion
Eva;Eva;Eva
Dormido;Dormido;Sleep
Envenenado;Envenenado;Poison
Quemado;Quemado;Burn
Paralizado;Paralizado;Paralysis
Congelado;Congelado;Frozen
Medio;Medio;Medium
Errático;Errático;Erratic
Fluctuante;Fluctuante;Fluctuating
Parabólico;Parabólico;Parabolic
Rápido;Rápido;Fast
Lento;Lento;Slow
Siempre Macho;Siempre Macho;Always Male
Siempre Hembra;Siempre Hembra;Always Female
Hembra 1 de cada 8;Hembra 1 de cada 8;Female 1/8
25% Hembra;25% Hembra;25% Female
50% Hembra;50% Hembra;50% Female
75% Hembra;75% Hembra;75% Female
Hembra 7 de cada 8;Hembra 7 de cada 8;Female 7/8
Desconocido;Desconocido;Undiscovered
Monstruo;Monstruo;Monster
Agua 1;Agua 1;Water 1
Bicho;Bicho;Bug
Volador;Volador;Flying
Campo;Campo;Field
Hada;Hada;Fairy
Planta;Planta;Grass
Humanoide;Humanoide;Human-Like
Agua 3;Agua 3;Water 3
Mineral;Mineral;Mineral
Amorfo;Amorfo;Amorphous
Agua 2;Agua 2;Water 2
Ditto;Ditto;Ditto
Dragón;Dragón;Dragon
cero;cero;zero
uno;uno;one
dos;dos;two
tres;tres;three
cuatro;cuatro;four
cinco;cinco;five
seis;seis;six
siete;siete;seven
ocho;ocho;eight
nueve;nueve;nine
diez;diez;ten
once;once;eleven
doce;doce;twelve
trece;trece;thirteen
catorce;catorce;fourteen
quince;quince;fifteen
dieciséis;dieciséis;sixteen
diecisiete;diecisiete;seventeen
dieciocho;dieciocho;eighteen
diecinueve;diecinueve;nineteen
veinte;veinte;twenty
Creada por:;Creada por:;Created by:
Colaboraciones:;Colaboraciones:;Collaborations:
Testeo:;Testeo:;Testing:
Animaciones de ataques:;Animaciones de ataques:;Battle Animations:
Versión del 20.04.2022;Versión del 20.04.2022;Version 20.04.2022
Sprites de combate estilo 4 gen:;Sprites de combate estilo 4 gen:;Gen 4 Style Battle Sprites:
Iconos Pokémon 9 gen:;Iconos Pokémon 9 gen:;Gen 9 Pokémon Icons:
Pokédex regionales:;Pokédex regionales:;Regional Pokédexes:
Incubadora:;Incubadora:;Incubator:
Huellas de Pokémon;Huellas de Pokémon;Pokémon Footprints
También involucrados:;También involucrados:;Also involved:
Cabeza;Cabeza;Head
Serpiente;Serpiente;Serpentine
Pez;Pez;Finned
Cabeza y brazos;Cabeza y brazos;Head with Arms
Cabeza y cuerpo;Cabeza y cuerpo;Head with Base
Bípeda con cola;Bípeda con cola;Bipedal with Tail
Bípeda sin extremidades;Bípeda sin extremidades;Head with Legs
Cuadrúpeda;Cuadrúpeda;Quadruped
Dos alas;Dos alas;Winged
Varias extremidades;Varias extremidades;Multi-legged
Varios cuerpos;Varios cuerpos;Multi-bodied
Bípeda sin cola;Bípeda sin cola;Bipedal
Varias alas;Varias alas;Multi-winged
Insectoide;Insectoide;Insectoid
Pradera;Pradera;Grassland
Bosque;Bosque;Forest
Agua dulce;Agua dulce;Water's Edge
Agua salada;Agua salada;Sea
Cueva;Cueva;Cave
Montaña;Montaña;Mountain
Ciudad;Ciudad;Urban
Raros;Raros;Rare
Hierba alta;Hierba alta;Tall Grass
Agua móvil;Agua móvil;Moving Water
Agua estática;Agua estática;Still Water
Charco;Charco;Puddle
Submarino;Submarino;Underwater
Roca;Roca;Rock
Arena;Arena;Sand
Hierba de bosque;Hierba de bosque;Forest Grass
Nieve;Nieve;Snow
Hielo;Hielo;Ice
Volcán;Volcán;Volcano
Cementerio;Cementerio;Graveyard
Cielo;Cielo;Sky
Espacio;Espacio;Space
Ultraespacio;Ultraespacio;Ultra Space
Soleado;Soleado;Sun
Lluvioso;Lluvioso;Rain
Tormenta arena;Tormenta arena;Sandstorm
Nevada;Nevada;Hail
Sol abrasador;Sol abrasador;Harsh Sun
Diluvio;Diluvio;Heavy Rain
Turbulencias;Turbulencias;Strong Winds
Cielo sombrío;Cielo sombrío;Shadow Sky
Eléctrico;Eléctrico;Electric
de Planta;de Planta;Grassy
de Niebla;de Niebla;Misty
Psíquico;Psíquico;Psychic
Usuario;Usuario;User
Aliado Cercano;Aliado Cercano;Near Ally
Usuario o Aliado Cercano;Usuario o Aliado Cercano;User or Near Ally
Todos los Aliados;Todos los Aliados;All Allies
Usuario y Aliados;Usuario y Aliados;User and Allies
Rival Cercano;Rival Cercano;Near Foe
Rival Cercano al Azar;Rival Cercano al Azar;Random Near Foe
Todos los Rivales Cercanos;Todos los Rivales Cercanos;All Near Foes
Rival;Rival;Foe
Todos los Rivales;Todos los Rivales;All Foes
Combatiente Cercano;Combatiente Cercano;Near Other
Todos los Combatientes Cercanos;Todos los Combatientes Cercanos;All Near Others
Otros;Otros;Other
Todos los Combatientes;Todos los Combatientes;All Battlers
Bando del Usuario;Bando del Usuario;User's Side
Bando Rival;Bando Rival;Foe's Side
Ambos Bandos;Ambos Bandos;Both Sides
Dar;Dar;Give
Cargar;Cargar;Load
A a Z;A a Z;A to Z
Z a A;Z a A;Z to A
Nivel;Nivel;Level
Almacenamiento;Almacenamiento;Storage
Apagar;Apagar;Turn Off
Buzón;Buzón;Mailbox
Dejar;Dejar;Release
COLOCAR;COLOCAR;PLACE
CERRAR MOCHILA;CERRAR MOCHILA;CLOSE BAG
Almacenamiento de Objetos;Almacenamiento de Objetos;Item Storage
Abriendo el Sistema de Almacenamiento de Pokémon.;Abriendo el Sistema de Almacenamiento de Pokémon.;Opening Pokémon Storage System.
Cerrar almacenamiento.;Cerrar almacenamiento.;Close storage.
Cerrar Mochila.;Cerrar Mochila.;Close Bag.
Con contraseña;Con contraseña;With password
ACCIÓN: Vuelo;ACCIÓN: Vuelo;ACTION: Fly
ACCIÓN: Cancelar Vuelo;ACCIÓN: Cancelar Vuelo;ACTION: Cancel Fly
VISTOS;VISTOS;SEEN
OBTENIDOS;OBTENIDOS;CAUGHT
[Custom];[Custom];[Custom]
Elige una frase sobre el lugar donde se ha obtenido ese Pokémon.;Elige una frase sobre el lugar donde se ha obtenido ese Pokémon.;Choose a phrase about where this Pokémon was obtained.
¿Dejar de agregar este regalo?;¿Dejar de agregar este regalo?;Stop adding this gift?
Introduce una frase.;Introduce una frase.;Enter a phrase.
¿Dejar de editar este regalo?;¿Dejar de editar este regalo?;Stop editing this gift?
Elige la cantidad de {1}.;Elige la cantidad de {1}.;Choose the quantity of {1}.
Elige un ID único para este regalo.;Elige un ID único para este regalo.;Choose a unique ID for this gift.
Ese ID ya está en uso por un Regalo Misterioso.;Ese ID ya está en uso por un Regalo Misterioso.;That ID is already in use by a Mystery Gift.
Introduce un nombre para el regalo.;Introduce un nombre para el regalo.;Enter a name for the gift.
¿Quieres que este regalo requiera una contraseña?;¿Quieres que este regalo requiera una contraseña?;Do you want this gift to require a password?
Introduce una contraseña de 8 caracteres.;Introduce una contraseña de 8 caracteres.;Enter an 8-character password.
La contraseña debe tener exactamente 8 caracteres.;La contraseña debe tener exactamente 8 caracteres.;The password must be exactly 8 characters.
No se puede agregar el regalo.;No se puede agregar el regalo.;Cannot add the gift.
El regalo se ha guardado en MysteryGiftMaster.txt.;El regalo se ha guardado en MysteryGiftMaster.txt.;The gift has been saved to MysteryGiftMaster.txt.
No se ha podido guardar el regalo en MysteryGiftMaster.txt.;No se ha podido guardar el regalo en MysteryGiftMaster.txt.;Could not save the gift to MysteryGiftMaster.txt.
No se ha creado el regalo.;No se ha creado el regalo.;The gift was not created.
"No se encuentra el archivo ""MysteryGiftMaster.txt"" con los Regalos Misteriosos. No has creado ningún regalo.";"No se encuentra el archivo ""MysteryGiftMaster.txt"" con los Regalos Misteriosos. No has creado ningún regalo.";The file MysteryGiftMaster.txt with Mystery Gifts was not found. You haven't created any gifts.
Puedes crear Regalos tanto de Pokémon como de Objetos. Para los Pokémon, elige la opción Debug que aparece al seleccionarlos en tu equipo o en el PC. Para los Objetos, elige la opción Debug que aparece al seleccionarlos en la Mochila.;Puedes crear Regalos tanto de Pokémon como de Objetos. Para los Pokémon, elige la opción Debug que aparece al seleccionarlos en tu equipo o en el PC. Para los Objetos, elige la opción Debug que aparece al seleccionarlos en la Mochila.;You can create Gifts for both Pokémon and Items. For Pokémon select the Debug option when you select them in your party or PC. For Items select the Debug option when you select them in the Bag.
Una vez creados de ese modo, podrás encontrarlos aquí para gestionarlos y subirlos a Internet.;Una vez creados de ese modo, podrás encontrarlos aquí para gestionarlos y subirlos a Internet.;Once created this way you'll be able to find them here to manage them and upload them to the Internet.
